U00001|admin@university.edu|admin@123|1
U00002|officer@university.edu|officer@123|officer
U00003|miller@university.edu|miller@123|lecturer
U00004|lee@university.edu|lee@123|lecturer
U00005|smith@university.edu|smith@123|lecturer
U00006|lee@university.edu|lee@123|lecturer
U00007|chen@university.edu|chen@123|lecturer
U00008|johnson@university.edu|johnson@123|lecturer
U00009|chen@university.edu|chen@123|lecturer
U00010|miller@university.edu|miller@123|lecturer
U00011|kumar@university.edu|kumar@123|lecturer
U00012|johnson@university.edu|johnson@123|lecturer
U00013|white@university.edu|white@123|lecturer
U00014|brown@university.edu|brown@123|lecturer
U00015|martinez@university.edu|martinez@123|lecturer
U00016|singh@university.edu|singh@123|lecturer
U00017|davis@university.edu|davis@123|lecturer
U00018|wilson@university.edu|wilson@123|lecturer
U00019|clark@university.edu|clark@123|lecturer
U00020|lopez@university.edu|lopez@123|lecturer
U00021|young@university.edu|young@123|lecturer
U00022|green@university.edu|green@123|lecturer
U00023|hall@university.edu|hall@123|lecturer
U00024|king@university.edu|king@123|lecturer
U00025|adams@university.edu|adams@123|lecturer
U00026|baker@university.edu|baker@123|lecturer
U00027|carter@university.edu|carter@123|lecturer
U00028|evans@university.edu|evans@123|lecturer
U00029|flores@university.edu|flores@123|lecturer
U00030|gonzalez@university.edu|gonzalez@123|lecturer
U00031|harris@university.edu|harris@123|lecturer
U00032|irving@university.edu|irving@123|lecturer
U00033|fionasmith@university.edu|a|4
U00034|georgewilson@university.edu|georgewilson@123|student
U00035|ivanwilson@university.edu|ivanwilson@123|student
U00036|ivanchen@university.edu|ivanchen@123|student
U00037|bobsmith@university.edu|bobsmith@123|student
U00038|quinnchen@university.edu|quinnchen@123|student
U00039|oscarsmith@university.edu|oscarsmith@123|student
U00040|bobchen@university.edu|bobchen@123|student
U00041|racheldavis@university.edu|racheldavis@123|student
U00042|charliemiller@university.edu|charliemiller@123|student
U00043|charliebrown@university.edu|charliebrown@123|student
U00044|quinnchen@university.edu|quinnchen@123|student
U00045|ivanlee@university.edu|ivanlee@123|student
U00046|dianabrown@university.edu|dianabrown@123|student
U00047|alicewilson@university.edu|alicewilson@123|student
U00048|bobsmith@university.edu|bobsmith@123|student
U00049|alicejohnson@university.edu|alicejohnson@123|student
U00050|juliadavis@university.edu|juliadavis@123|student
U00051|ninamiller@university.edu|ninamiller@123|student
U00052|rachelmiller@university.edu|rachelmiller@123|student
U00053|rachelmiller@university.edu|rachelmiller@123|student
U00054|ivansmith@university.edu|ivansmith@123|student
U00055|ninataylor@university.edu|ninataylor@123|student
U00056|quinnbrown@university.edu|quinnbrown@123|student
U00057|paulataylor@university.edu|paulataylor@123|student
U00058|fionalee@university.edu|fionalee@123|student
U00059|michaelwilson@university.edu|michaelwilson@123|student
U00060|lauralee@university.edu|lauralee@123|student
U00061|tinakumar@university.edu|tinakumar@123|student
U00062|quinnwilson@university.edu|quinnwilson@123|student
U00063|alicebrown@university.edu|alicebrown@123|student
U00064|paulakumar@university.edu|paulakumar@123|student
U00065|fionachen@university.edu|fionachen@123|student
U00066|racheltaylor@university.edu|racheltaylor@123|student
U00067|quinnbrown@university.edu|quinnbrown@123|student
U00068|paulamiller@university.edu|paulamiller@123|student
U00069|samchen@university.edu|samchen@123|student
U00070|bobchen@university.edu|bobchen@123|student
U00071|rachelmiller@university.edu|rachelmiller@123|student
U00072|quinnsmith@university.edu|quinnsmith@123|student
U00073|dianachen@university.edu|dianachen@123|student
U00074|alicesmith@university.edu|alicesmith@123|student
U00075|ivanchen@university.edu|ivanchen@123|student
U00076|tinamiller@university.edu|tinamiller@123|student
U00077|dianataylor@university.edu|dianataylor@123|student
U00078|ethanlee@university.edu|ethanlee@123|student
U00079|boblee@university.edu|boblee@123|student
